author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Ulrike Zeitler (Autor:in),Seminararbeit,2000,sehr gut,Ludwig-Maximilians-Universität München,9783638979740,de,https://www.hausarbeiten.de/document/99534,23,23 von 23 Seiten X- nach oben,Kostenlos,1739,Germanistik - Neuere Deutsche Literatur, Entwicklung Poeten Genie Jahrhundert Gottsched Herder Kant Seminar Jahrhunderts ,38655,"Die Entwicklung vom Poeten zum Genie im 18. Jahrhundert - aufgezeigt anhand von Gottsched, Herder und Kant"
Oskar Ters (Autor:in),Hausarbeit,1999,1,none,9783638975414,de,https://www.hausarbeiten.de/document/99092,24,23 von 24 Seiten X- nach oben,Kostenlos,587,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Darstellung Helden Epos ,53864,Die Darstellung des Helden im höfischen Epos
Jens Dietrich (Autor:in),Hausarbeit,1998,1,Justus-Liebig-Universität Gießen,9783638975568,de,https://www.hausarbeiten.de/document/99107,25,25 von 25 Seiten X- nach oben,Kostenlos,1260,Germanistik - Neuere Deutsche Literatur, Theatralität Diskurs Liebenden Roland Barthes ,44077,Theatralität im Diskurs des Liebenden
Kirsten Hemeier (Autor:in),Seminararbeit,2001,"1,7",Universität Lüneburg,9783638975575,de,https://www.hausarbeiten.de/document/99108,18,18 von 18 Seiten X- nach oben,Kostenlos,428,Germanistik - Neuere Deutsche Literatur, Zeitalter Mann) Seminar Literatur Weimarer Republik ,36381,Ein Zeitalter wird besichtigt (Heinrich Mann)
Sabine Rüster (Autor:in),Ausarbeitung,2001,none,none,9783638975599,de,https://www.hausarbeiten.de/document/99110,8,8 von 8 Seiten X- nach oben,Kostenlos,524,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Hartmann Leben Werke Einführungsseminar Germanistik ,14935,"Hartmann von Aue, Leben und Werke"
Wiebke Reyer (Autor:in),Seminararbeit,1997,1,Ludwig-Maximilians-Universität München,9783638976268,de,https://www.hausarbeiten.de/document/99177,11,11 von 11 Seiten X- nach oben,Kostenlos,1776,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Dante Alighieri Divina Commedia Purgatorio VIII Benno Geigers Walther Wartburgs Vergleich Veranschaulichung Problematik ,32355,"Die Problematik literarischer Übersetzungen. Der Gesang ""Purgatorio VIII"" in Dantes ""La Divina Commedia"""
Jürgen Tobisch (Autor:in),Hausarbeit,2000,"2,3",Johannes Gutenberg-Universität Mainz,9783638976312,de,https://www.hausarbeiten.de/document/99182,14,14 von 14 Seiten X- nach oben,Kostenlos,1405,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Autobiographische Elemente James Joyces Ulysses Kapitel ,27848,"Autobiographische Elemente in James Joyces ""Ulysses"" Kapitel 1 und 2"
Wiebke Reyer (Autor:in),Seminararbeit,1997,2,Ludwig-Maximilians-Universität München,9783638976329,de,https://www.hausarbeiten.de/document/99183,32,32 von 32 Seiten X- nach oben,Kostenlos,4488,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Vergleich Henry James Roman Europeans James Ivorys Verfilmung Aspekt Problematik Textualität Visualität Buch Film ,63380,"Vergleich von Henry James' ""The Europeans"" mit James Ivorys gleichnamiger Verfilmung. Problematik von Textualität und Visualität in Buch und Film"
Celine Dubois (Autor:in),Hausarbeit,1998,none,Gottfried Wilhelm Leibniz Universität Hannover,9783638976336,de,https://www.hausarbeiten.de/document/99184,10,10 von 10 Seiten X- nach oben,Kostenlos,660,Germanistik - Neuere Deutsche Literatur, Last Vergleich Sterbeszenen Meteor Romulus Große ,18712,Die ewige Last mit dem Tod - Ein Vergleich der mutmaßlichen Sterbeszenen in Der Meteor und Romulus der Große
anonymous,Hausarbeit (Hauptseminar),1997,2,none,9783638976343,de,https://www.hausarbeiten.de/document/99185,21,21 von 21 Seiten X- nach oben,Kostenlos,2944,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Alexander Candacis Alexanderlied Pfaffen Lamprecht ,45197,Alexander und Candacis
Bernd Perplies (Autor:in),Hausarbeit,2000,none,Johannes Gutenberg-Universität Mainz,9783638976381,de,https://www.hausarbeiten.de/document/99189,16,15 von 16 Seiten X- nach oben,Kostenlos,912,Germanistik - Neuere Deutsche Literatur, Taugenichts Eine Analyse Taugenichts Bernhard Sinkels Film Berücksichtigung Vorlage Joseph Eichendorffs ,34870,"Taugenichts: Eine Analyse des ""Taugenichts""-Charakters in Bernhard Sinkels gleichnamigem Film unter Berücksichtigung der literarischen Vorlage Joseph von Eichendorffs"
Alexandra Lenz (Autor:in),Hausarbeit,2000,none,Friedrich-Alexander-Universität Erlangen-Nürnberg,9783638976404,de,https://www.hausarbeiten.de/document/99191,13,13 von 13 Seiten X- nach oben,Kostenlos,1278,Germanistik - Neuere Deutsche Literatur, Goethe Braut Korinth Vampirmädchen Eine Analyse Ideenballade Literarische Gespenster ,21947,"Goethe: ""Die Braut von Korinth"" - Ein mitfühlendes Vampirmädchen. Eine Analyse der Ideenballade"
Thomas Koch (Autor:in),Seminararbeit,2000,none,none,9783638975025,de,https://www.hausarbeiten.de/document/99053,20,20 von 20 Seiten X- nach oben,Kostenlos,1003,Germanistik - Neuere Deutsche Literatur, Gothic Novel Einfluß Hoffmann ,34819,Die Gothic Novel und deren Einfluß auf E.T.A. Hoffmann
Ledda Salazar Piaggio (Autor:in),Hausarbeit (Hauptseminar),1999,"1,5",Albert-Ludwigs-Universität Freiburg,9783638975100,de,https://www.hausarbeiten.de/document/99061,14,14 von 14 Seiten X- nach oben,Kostenlos,2959,Germanistik - Linguistik, Aphasie Mehrsprachigkeit Sprache Gehirn ,32406,Aphasie bei Mehrsprachigkeit
Ledda Salazar Piaggio (Autor:in),Hausarbeit (Hauptseminar),2000,"1,5",none,9783638975117,de,https://www.hausarbeiten.de/document/99062,18,18 von 18 Seiten X- nach oben,Kostenlos,3612,Germanistik - Linguistik, Erwerb Erstsprachen ,39583,Der Erwerb von zwei Erstsprachen
Armin König (Autor:in),Ausarbeitung,2000,none,none,9783638972826,de,https://www.hausarbeiten.de/document/98831,7,7 von 7 Seiten X- nach oben,Kostenlos,606,Germanistik - Neuere Deutsche Literatur, Ingeborg Bachmann Lyrik Nachlass ,12930,"Peep-Show für Voyeure: Ingeborg Bachmann, missbrauchte Dichterin"
Mirjam Wittig (Autor:in),Seminararbeit,2000,gut+,Rheinische Friedrich-Wilhelms-Universität Bonn,9783638969932,de,https://www.hausarbeiten.de/document/98542,17,17 von 17 Seiten X- nach oben,Kostenlos,505,Germanistik - Neuere Deutsche Literatur, Lessings Ansatz Briefwechsel Trauerspiel Proseminar Lessings Dramen ,37329,"Lessings dramentheoretischer Ansatz im ""Briefwechsel über das Trauerspiel"""
Marion Helmle (Autor:in),Seminararbeit,2000,none,none,9783638969970,de,https://www.hausarbeiten.de/document/98546,22,22 von 22 Seiten X- nach oben,Kostenlos,1453,Germanistik - Neuere Deutsche Literatur, Kolonialismus Roman Timm ,46320,Kolonialismus im deutschen Roman
Marion Helmle (Autor:in),Seminararbeit,2000,1.7,none,9783638969987,de,https://www.hausarbeiten.de/document/98547,17,17 von 17 Seiten X- nach oben,Kostenlos,986,Germanistik - Neuere Deutsche Literatur, Dialektik Aufklärung Theorie Umsetzung Stanley Kubriks Space Odyssey Frankfurter Schule ,32720,"""Dialektik der Aufklärung"" - Die Theorie und ihre Umsetzung in Stanley Kubriks ""2001 - A Space Odyssey"""
Susanna Eiberger (Autor:in),Seminararbeit,2000,beste Arbe,none,9783638971201,de,https://www.hausarbeiten.de/document/98669,23,23 von 23 Seiten X- nach oben,Kostenlos,2512,Germanistik - Neuere Deutsche Literatur, Literaturauffassung George Büchners Einführung Neuere Deutsche Literaturwissenschaft ,71515,Die Literaturauffassung George Büchners
Oliver Buchholz (Autor:in),Seminararbeit,2000,Bestanden,none,9783638966108,de,https://www.hausarbeiten.de/document/98159,23,23 von 23 Seiten X- nach oben,Kostenlos,946,Germanistik - Neuere Deutsche Literatur, Welche Rolle Augenszenen Erzählung Sandmann Deutungsvariante Proseminar Hoffmann Nachtstücke ,41341,"Welche Rolle spielen die Augenszenen in der Erzählung ""Der Sandmann"" und wie lassen sie sich zu einer Deutungsvariante zusammenfügen?"
Jean Rodewald (Autor:in),Seminararbeit,2000,"1,7",none,9783638964777,de,https://www.hausarbeiten.de/document/98026,24,24 von 24 Seiten X- nach oben,Kostenlos,266,Germanistik - Linguistik, Analyse Theorie Formulierens Gerd Antos ,47917,Analyse der Theorie des Formulierens von Gerd Antos
Judith Lekszas (Autor:in),Ausarbeitung,2000,"1,0",none,9783638964159,de,https://www.hausarbeiten.de/document/97964,18,18 von 18 Seiten X- nach oben,Kostenlos,120,Germanistik - Linguistik, Szagun Interaktionismus Kommunikation im Kindesalter ,35202,Entwicklung der Kommunikation / Interaktionismus Sprachentwicklung
Robert Pipereit (Autor:in),Seminararbeit,2000,sehr gut,none,9783638963916,de,https://www.hausarbeiten.de/document/97940,25,25 von 25 Seiten X- nach oben,Kostenlos,3505,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Völkerwanderungszeit Merowinger Spiegel Nibelungenliedes ,51197,Völkerwanderungszeit und Merowinger im Spiegel des Nibelungenliedes
Yvonne Laudon (Autor:in),Hausarbeit (Hauptseminar),1992,2,none,9783638964036,de,https://www.hausarbeiten.de/document/97952,19,18 von 19 Seiten X- nach oben,Kostenlos,716,Germanistik - Neuere Deutsche Literatur, Analyse Buches Lady Punk Dagmar Chidolue Mädchenbuch ,41703,"Analyse des Buches ""Lady Punk"" von Dagmar Chidolue, Ein typisches Mädchenbuch?"
Sandy Kuster (Autor:in),Seminararbeit,1999,none,none,9783638963657,de,https://www.hausarbeiten.de/document/97914,26,26 von 26 Seiten X- nach oben,Kostenlos,1557,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Liebeskonzept Gottfried Straßburgs Tristan Bezug Ideologien ,48079,"Liebeskonzept in Gottfried von Straßburgs ""Tristan"" im Bezug auf mittelalterliche Ideologien"
Alex Kranz (Autor:in),Seminararbeit,2000,none,none,9783638963664,de,https://www.hausarbeiten.de/document/97915,9,9 von 9 Seiten X- nach oben,Kostenlos,502,Germanistik - Linguistik, Entwicklung Orthographie Jahrhundert Historische Aspekte Rechtschreibung ,21916,Die Entwicklung der deutschen Orthographie im 19. Jahrhundert
"Pizarri, Lodovicco (Autor:in)",Seminararbeit,1997,Sehr gut,Freie Universität Berlin,9783638963671,de,https://www.hausarbeiten.de/document/97916,70,70 von 70 Seiten X- nach oben,Kostenlos,5730,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Hexen Narren Wilde Jagd Ritter Teufel Versuch Freilegung Tiefenschicht Heinrich Wittenwiler Erhellung Frage Gattungszugehörigkeit Theorems Karnevalisieru Wittenwilers ,153037,"Zu Heinrich Wittenwilers ""Ring"". Freilegung einer semantischen Tiefenschicht und Gattungsanalyse anhand des Theorems von der Karnevalisierung"
Andreas Harlander (Autor:in),Ausarbeitung,2000,none,none,9783638962827,de,https://www.hausarbeiten.de/document/97831,21,21 von 21 Seiten X- nach oben,Kostenlos,1300,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Rüdiger Bechelaren Proseminar Nibelungenlied ,30534,Rüdiger von Bechelaren
Latica Bilopavlovic (Autor:in),Seminararbeit,1999,3,Johannes Gutenberg-Universität Mainz,9783638962834,de,https://www.hausarbeiten.de/document/97832,14,13 von 14 Seiten X- nach oben,Kostenlos,1874,Germanistik - Neuere Deutsche Literatur, Hoffmann Sandmann Romantik Romantische Erzählungen ,30867,"Automatenmenschen bei E.T.A. Hoffmann unter besonderer Berücksichtigung seiner Erzählung ""Der Sandmann"""
Thomas Langer (Autor:in),Seminararbeit,2000,sehr gut,none,9783638962841,de,https://www.hausarbeiten.de/document/97833,40,40 von 40 Seiten X- nach oben,Kostenlos,3007,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Liebeskonzeption Ehelehre Augustinus ,68433,Liebeskonzeption und Ehelehre des Augustinus
Jan Hemmer (Autor:in),Seminararbeit,2000,none,none,9783638962599,de,https://www.hausarbeiten.de/document/97808,17,17 von 17 Seiten X- nach oben,Kostenlos,1835,Germanistik - Linguistik, Entstehung Entwicklung Familiennamen Deutschland Gegenwart ,38755,Die Entstehung und geschichtliche Entwicklung der Familiennamen in Deutschland bis in die Gegenwart
Stefan Jachmann (Autor:in),Seminararbeit,1999,none,Universität Potsdam,9783638961998,de,https://www.hausarbeiten.de/document/97748,16,16 von 16 Seiten X- nach oben,Kostenlos,1649,Germanistik - Neuere Deutsche Literatur, Ethik Ansätze Kapitalismus Nachbarn-Roman Georg Wickram Grundkurs Jörg Wickram Goldfaden ,32722,Die protestantische Ethik und Ansätze für Kapitalismus im Nachbarn-Roman von Georg Wickram
Daniel Sciboz (Autor:in),Hausarbeit,1999,none,Freie Universität Berlin,9783638960922,de,https://www.hausarbeiten.de/document/97640,20,20 von 20 Seiten X- nach oben,Kostenlos,1257,Germanistik - Neuere Deutsche Literatur, EINEN LARISSA LARUSS Hexen Realität Literatur Proseminar Phantastik Kinderbuch ,38987,"GIB MIR EINEN KUß, LARISSA LARUSS: Hexen in der Realität und in der Literatur"
Stefan Jachmann (Autor:in),Hausarbeit (Hauptseminar),2000,none,Universität Potsdam,9783638960182,de,https://www.hausarbeiten.de/document/97566,33,33 von 33 Seiten X- nach oben,Kostenlos,1911,Germanistik - Neuere Deutsche Literatur, Labyrinth Friedrich Dürrenmatts Winterkrieg Tibet Hauptseminar Friedrich Dürrenmatt Theorie Praxis Konzeption ,74154,"Das Labyrinth in Friedrich Dürrenmatts ""Der Winterkrieg in Tibet"""
Nils Niermann (Autor:in),Seminararbeit,1997,"1,6",Universität Duisburg-Essen,9783638959216,de,https://www.hausarbeiten.de/document/97469,14,14 von 14 Seiten X- nach oben,Kostenlos,664,Germanistik - Neuere Deutsche Literatur, Ernst Stadlers Hymnus Fahrt Kölner Rheinbrücke Nacht` Großstadt Motiv Literatur Expressionismus ,30331,Ernst Stadlers vitalistischer Hymnus `Die Fahrt über die Kölner Rheinbrücke bei Nacht`
Evamarie Pitz (Autor:in),Seminararbeit,2000,sehr gut,none,9783638959230,de,https://www.hausarbeiten.de/document/97471,21,21 von 21 Seiten X- nach oben,Kostenlos,664,Germanistik - Neuere Deutsche Literatur, Mythen Alltags ,51905,Mythen des Alltags
Charlie Müller (Autor:in),Seminararbeit,2000,gut,none,9783638959254,de,https://www.hausarbeiten.de/document/97473,7,7 von 7 Seiten X- nach oben,Kostenlos,664,Germanistik - Neuere Deutsche Literatur, Motto Nathan Weise ,16055,Das Motto zu Nathan der Weise
Torsten Schmidtke (Autor:in),Seminararbeit,1997,none,Technische Universität Berlin,9783638958714,de,https://www.hausarbeiten.de/document/97419,21,21 von 21 Seiten X- nach oben,Kostenlos,2128,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Gottesurteil Isolde« Gottfried Straßburg Institut Deutsche Philologie Allg Vergl Literaturwiss ,41052,Das Gottesurteil in »Tristan und Isolde« von Gottfried von Straßburg
Nils Niermann (Autor:in),Seminararbeit,1998,1-2,Universität Duisburg-Essen,9783638958721,de,https://www.hausarbeiten.de/document/97420,16,15 von 16 Seiten X- nach oben,Kostenlos,1057,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Nibelungenlied Proseminar Nibelungenlied ,27955,`Triuwe-Bindungen` im Nibelungenlied
Olav Nagel (Autor:in),Seminararbeit,2000,2,Johann Wolfgang Goethe-Universität Frankfurt am Main,9783638958738,de,https://www.hausarbeiten.de/document/97421,19,18 von 19 Seiten X- nach oben,Kostenlos,1385,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Städtelob Hans Sachs ,32462,Städtelob bei Hans Sachs
Torsten Fischer (Autor:in),Hausarbeit (Hauptseminar),2000,"1,7",none,9783638958745,de,https://www.hausarbeiten.de/document/97422,21,21 von 21 Seiten X- nach oben,Kostenlos,574,Germanistik - Linguistik, Präfix- Partikelverben Analyse Stiebels/Wunderlich Hauptseminar Germanistik ,36303,Präfix- und Partikelverben und ihre formale Analyse nach Stiebels/Wunderlich
Nils Niermann (Autor:in),Hausarbeit (Hauptseminar),1999,none,Universität Duisburg-Essen,9783638958752,de,https://www.hausarbeiten.de/document/97423,14,14 von 14 Seiten X- nach oben,Kostenlos,2623,Germanistik - Linguistik, Theodor Frings Theorie Entstehung Schriftsprache Primat Mündlichkeit ,26773,Theodor Frings Theorie zur Entstehung der neuhochdeutschen Schriftsprache und das Primat der Mündlichkeit
Christof Müller (Autor:in),Hausarbeit,2000,sehr gut,Universität Osnabrück,9783638958769,de,https://www.hausarbeiten.de/document/97424,10,10 von 10 Seiten X- nach oben,Kostenlos,451,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Dialekt Stil Nibelungenliedes ,24325,Dialekt und Stil des Nibelungenliedes
Torsten Schmidtke (Autor:in),Seminararbeit,1995,none,Technische Universität Berlin,9783638958264,de,https://www.hausarbeiten.de/document/97374,22,22 von 22 Seiten X- nach oben,Kostenlos,1388,Germanistik - Neuere Deutsche Literatur, Thomas Mann Buddenbrooks Hannos Hinwendung Musik Seminar Thomas Manns Buddenbrooks ,50552,Thomas Mann - Die Buddenbrooks - Hannos Hinwendung zur Musik
Bianca Kühn (Autor:in),Seminararbeit,1999,befriedigend,none,9783638099158,de,https://www.hausarbeiten.de/document/97240,15,15 von 15 Seiten X- nach oben,Kostenlos,1638,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Prolog Artusepik ,31600,Der Prolog der klassischen und nachklassichen Artusepik
Katja Thrum (Autor:in),Seminararbeit,1998,2,Christian-Albrechts-Universität Kiel,9783638099387,de,https://www.hausarbeiten.de/document/97263,18,18 von 18 Seiten X- nach oben,Kostenlos,2115,Germanistik - Linguistik, Komposita Wörterbuch ,36657,Komposita und Wörterbuch
Katja Thrum (Autor:in),Ausarbeitung,1998,none,Christian-Albrechts-Universität Kiel,9783638099400,de,https://www.hausarbeiten.de/document/97265,6,6 von 6 Seiten X- nach oben,Kostenlos,1625,Germanistik - Linguistik, Komposita Wörterbuch Lexikographie Germanistik ,7299,Nominale Wortbildung - Komposita und Wörterbuch
Tim Heptner (Autor:in),Hausarbeit (Hauptseminar),2000,none,Philipps-Universität Marburg,9783638099417,de,https://www.hausarbeiten.de/document/97266,23,23 von 23 Seiten X- nach oben,Kostenlos,2073,"Germanistik - Semiotik, Pragmatik, Semantik", Kritik Sprachgebrauch Zeitungen Nominale Wortbildung ,41223,Kritik am Sprachgebrauch der Zeitungen
Annett Oertel (Autor:in),Seminararbeit,2000,none,none,9783638097499,de,https://www.hausarbeiten.de/document/97074,24,24 von 24 Seiten X- nach oben,Kostenlos,1862,Germanistik - Neuere Deutsche Literatur, Salon Berta Zuckerkandl ,44595,Der literarische Salon der Berta Zuckerkandl
Johannes Sascha Rex (Autor:in),Hausarbeit (Hauptseminar),2000,1,Rheinische Friedrich-Wilhelms-Universität Bonn,9783638097505,de,https://www.hausarbeiten.de/document/97075,34,34 von 34 Seiten X- nach oben,Kostenlos,3442,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Weingartner Predigten Hauptseminar Mystik Didaktik Politik Mittelhochdeutsche Predigten ,69960,Weingartner Predigten
René Junge (Autor:in),Seminararbeit,2000,none,none,9783638097529,de,https://www.hausarbeiten.de/document/97077,18,18 von 18 Seiten X- nach oben,Kostenlos,630,"Germanistik - Literaturgeschichte, Epochen", Europapläne Deutscher Schriftsteller Zeit Weltkriegen ,32130,Europapläne Deutscher Schriftsteller in der Zeit zwischen den beiden Weltkriegen
Felix Bach (Autor:in),Seminararbeit,1999,1,Universität Bielefeld,9783638097536,de,https://www.hausarbeiten.de/document/97078,19,19 von 19 Seiten X- nach oben,Kostenlos,600,Germanistik - Neuere Deutsche Literatur, Carl Schmitts Politische Romantik Grundkurs Friedrich Hardenberg Novalis ,34505,"Carl Schmitts ""Politische Romantik"""
Stefan Weise (Autor:in),Seminararbeit,2000,none,none,9783638097567,de,https://www.hausarbeiten.de/document/97081,15,14 von 15 Seiten X- nach oben,Kostenlos,786,Germanistik - Neuere Deutsche Literatur, Welt Entwicklung Beziehung Peter Schlemihls Gesellschaft Erzählungen Romantik ,29357,Als schlösse sich die Welt zu - Zur Entwicklung der Beziehung Peter Schlemihls zur Gesellschaft
Guede Godbersen (Autor:in),Seminararbeit,2000,none,none,9783638097574,de,https://www.hausarbeiten.de/document/97082,12,12 von 12 Seiten X- nach oben,Kostenlos,1367,Germanistik - Neuere Deutsche Literatur, Erzählung Tänzerin Leib Alfred Döblin ,25027,"Die früh-expressioniste Erzählung ""Die Tänzerin und der Leib"" von Alfred Döblin"
Jiri Nekuza (Autor:in),Seminararbeit,1999,none,none,9783638097581,de,https://www.hausarbeiten.de/document/97083,11,11 von 11 Seiten X- nach oben,Kostenlos,634,Germanistik - Neuere Deutsche Literatur, Verbale Kommunikation Kafkas Prozess ,19851,"Verbale und nonverbale Kommunikation in Kafkas ""Prozess"""
Stefanie Plener (Autor:in),Seminararbeit,1999,"2,5",Martin-Luther-Universität Halle-Wittenberg,9783638096546,de,https://www.hausarbeiten.de/document/96979,16,16 von 16 Seiten X- nach oben,Kostenlos,702,Germanistik - Gattungen, Fabel Gattung Seminar Fabel Aufklärung ,27732,Die Fabel als Gattung
Robin Pfeifer (Autor:in),Seminararbeit,1997,1-,none,9783638096560,de,https://www.hausarbeiten.de/document/96981,24,24 von 24 Seiten X- nach oben,Kostenlos,227,Germanistik - Neuere Deutsche Literatur, Kritik Gedanken Johann Carl Wezels ,54969,Die Kritik am aufklärerischen Gedanken in Johann Carl Wezels `Belphegor`
anonymous,Hausarbeit,2000,none,none,9783638095112,de,https://www.hausarbeiten.de/document/96836,27,27 von 27 Seiten X- nach oben,Kostenlos,1615,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Spruchtöne Walthers König-Friedrichston Mittelhochdeutschen Neuhochdeutsche ,52051,"Die Spruchtöne IX, X und XI aus Walthers ""König-Friedrichston"" sowie deren Übersetzung vom Mittelhochdeutschen ins Neuhochdeutsche"
Julie Deloche (Autor:in),Ausarbeitung,2000,2,Friedrich-Schiller-Universität Jena,9783638094641,de,https://www.hausarbeiten.de/document/96789,1,1 von 1 Seiten X- nach oben,Kostenlos,139,Germanistik - Neuere Deutsche Literatur, Gedankenlyrik Barock Moderne ,2503,Die Ode. Theorie und Aufbau
"Pizarri, Lodovicco (Autor:in)",Hausarbeit (Hauptseminar),1995,2,Freie Universität Berlin,9783638094658,de,https://www.hausarbeiten.de/document/96790,14,14 von 14 Seiten X- nach oben,Kostenlos,1629,Germanistik - Neuere Deutsche Literatur, Klassikerlektüre Fernsehtruhe Nierentisch Formale Aspekte Films Faust Tragödie Teil Gustaf Gründgens Hauptseminar Literatur Film ,31547,"Klassikerlektüre an Fernsehtruhe und Nierentisch: Formale, narrative und soziologisch-historische Aspekte des Films ""Faust - Der Tragödie erster Teil"" von Gustaf Gründgens"
Julie Deloche (Autor:in),Hausarbeit,2000,2,none,9783638094665,de,https://www.hausarbeiten.de/document/96791,5,5 von 5 Seiten X- nach oben,Kostenlos,549,Germanistik - Neuere Deutsche Literatur, Konfrontation Frau Wollf Wehrhahn Hauptmanns Biberpelz ,9863,"Die Konfrontation zwischen Frau Wollf und von Wehrhahn in Hauptmanns ""Biberpelz"""
Susanne Englmayer (Autor:in),Seminararbeit,1999,1,none,9783638094672,de,https://www.hausarbeiten.de/document/96792,35,35 von 35 Seiten X- nach oben,Kostenlos,2781,Germanistik - Neuere Deutsche Literatur, Wenn Wände Kunst Sprache Wahrnehmung Lüge Ingeborg Bachmanns ,86223,Wenn Wände reden könnten - Die Kunst der Sprache zwischen Wahrnehmung und Lüge in Ingeborg Bachmanns >Malina<
Verena Ludorff (Autor:in),Seminararbeit,2000,sehr gut,Rheinische Friedrich-Wilhelms-Universität Bonn,9783638094689,de,https://www.hausarbeiten.de/document/96793,16,16 von 16 Seiten X- nach oben,Kostenlos,1004,Germanistik - Neuere Deutsche Literatur, Ottilie Olimpia Narziss Proseminar Goethes Wahlverwandtschaften ,27361,"Ottilie, Olimpia und ihr Narziss"
Martin Abend (Autor:in),Seminararbeit,1995,none,none,9783638094719,de,https://www.hausarbeiten.de/document/96796,15,15 von 15 Seiten X- nach oben,Kostenlos,1083,Germanistik - Neuere Deutsche Literatur, Labor Park Englischen Garten Goethes Wahlverwandtschaften Proseminar Goethes Wahlverwandtschaften ,25609,"Das Labor im Park - Zum Englischen Garten in Goethes ""Die Wahlverwandtschaften"""
Johannes Sascha Rex (Autor:in),Seminararbeit,1998,1,none,9783638094726,de,https://www.hausarbeiten.de/document/96797,22,22 von 22 Seiten X- nach oben,Kostenlos,9328,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Gertrud Helfta Legatus ,44976,Gertrud von Helfta: Legatus divinae pietatis
"Pizarri, Lodovicco (Autor:in)",Hausarbeit (Hauptseminar),1996,zwei,Freie Universität Berlin,9783638094733,de,https://www.hausarbeiten.de/document/96798,18,18 von 18 Seiten X- nach oben,Kostenlos,3368,Germanistik - Neuere Deutsche Literatur, Lulu-Portrait Leitfunktion Determination Lulu-Figur Wedekindschen Doppeltragödie Hauptseminar Bilder Fremden Literatur Jahrhunderts ,45209,Das Lulu-Portrait und seine Leitfunktion für die weitgreifende Determination der Lulu-Figur in der Wedekindschen Doppeltragödie
Patrick M. Böhm (Autor:in),Hausarbeit (Hauptseminar),1999,1,none,9783638094061,de,https://www.hausarbeiten.de/document/96731,18,18 von 18 Seiten X- nach oben,Kostenlos,1804,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Heinrich Morungen Lied ,29378,Heinrich von Morungen: Lied Nr. 34
Anne Oppermann (Autor:in),Hausarbeit (Hauptseminar),1997,1,Westfälische Wilhelms-Universität Münster,9783638094573,de,https://www.hausarbeiten.de/document/96782,35,35 von 35 Seiten X- nach oben,Kostenlos,3594,Germanistik - Linguistik, Goodenoughs Konzeption Komponentialanalyse Beispiel Verwandtschaftsbezeichnungen Hauptseminar Konkurrierende Deskriptionsansätze Semantik ,52041,W. H. Goodenoughs Konzeption einer semantischen Komponentialanalyse am Beispiel von Verwandtschaftsbezeichnungen
Grzegorz Waldemar; Czachur (Autor:in),Hausarbeit (Hauptseminar),1999,1.7,Universität Duisburg-Essen,9783638094580,de,https://www.hausarbeiten.de/document/96783,22,21 von 22 Seiten X- nach oben,Kostenlos,2378,Germanistik - Linguistik, Konzeptiom Transformationsgrammatik Noam Chomsky Jahre Hauptseminar Sprache Grammatik ,37519,Die Konzeptiom der generativer Transformationsgrammatik von Noam Chomsky aus dem Jahre 1965
Ina Klose (Autor:in),Hausarbeit,1999,1.0,Universität Passau,9783638094597,de,https://www.hausarbeiten.de/document/96784,14,14 von 14 Seiten X- nach oben,Kostenlos,778,Germanistik - Linguistik, Scheitern Grice`schen Konversationsmaximen Pragmatik ,28768,Das Scheitern der Grice`schen Konversationsmaximen
Angela Neumann (Autor:in),Hausarbeit,1999,gut,Heinrich-Heine-Universität Düsseldorf,9783638074131,de,https://www.hausarbeiten.de/document/94733,14,14 von 14 Seiten X- nach oben,Kostenlos,1310,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Roman Realität Inquisition Umberto Ecos´ Name Rose ,44207,"Roman und Realität; Die Inquisition in Umberto Ecos´ ""Der Name der Rose"""
